datetime	lat	long	alt	vel_x	vel_y	vel_z	acc_x	elevation	source	location	vehicle	device	freq	sig_strength	sig_strength_Dbm		
40:06.4	33.1503994	-116.662068	33.47961426	6.440267086	-14.70232201	0.149341106		33.47961426	0	1	0	0	470.309	-18.7805	-66.886933		
40:08.8	33.15054163	-116.6624327	33.64257813	6.266739368	-12.13667679	-0.653317332		33.64257813	0	1	0	0	470.309	-17.713837	-65.81387002		
40:11.2	33.15066493	-116.6626881	32.81835938	5.274414539	-9.099569321	-0.402229428		32.81835938	0	1	0	0	470.309	-17.851868	-65.95272921		
40:13.6	33.15078372	-116.6629387	32.47363281	5.383383751	-11.12026119	0.258641243		32.47363281	0	1	0	0	470.309	-15.561437	-63.64855562		
40:16.0	33.15090408	-116.6632417	33.12268066	5.992767811	-12.74776173	0.34479329		33.12268066	0	1	0	0	470.309	-17.470886	-65.56946132		
40:18.4	33.15104341	-116.6635997	34.02941895	6.572155476	-14.80825424	0.072884694		34.02941895	0	1	0	0	470.309	-18.690199	-66.79609019		
40:20.8	33.15118964	-116.6639794	32.87719727	6.19971323	-13.71198368	0.342092365		32.87719727	0	1	0	0	470.309	-20.082495	-68.19673997		
40:23.2	33.15126092	-116.6641613	34.64099121	2.311876535	-2.291516066	-0.449412644		34.64099121	0	1	0	0	470.309	-19.217209	-67.32626225		
40:25.6	33.15139054	-116.664144	34.13500977	8.792610168	3.115036964	-0.166895941		34.13500977	0	1	0	0	470.309	-19.935961	-68.04932677		
40:28.0	33.15162326	-116.664015	34.16748047	11.88770866	6.022324085	-0.516268194		34.16748047	0	1	0	0	470.309	-19.662407	-67.77413144		
